FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-84.60781758977724,-160.32149981475854,-241.20542866189905,-98.11194429697451,-131.84111036577985,-45.43527029503259,-81.14589833271346,-58.98210731251402
-108.62931423044472,-310.6104976916039,-454.6357658524899,-132.2626625028671,-252.88967712691303,-75.47103432397176,-126.31527957102558,-77.16089175706502
-122.98241031917819,-420.59516888361725,-613.5847831572381,-152.5923824692169,-342.17180677545605,-96.91737937668492,-156.88453793284123,-88.4187268861839
-126.6768464107414,-473.28933092271745,-692.3367624477486,-157.8394708624734,-385.6573820810675,-106.73605439695814,-169.23441036333432,-91.87721759977089
-122.6592424624644,-474.43257523037573,-697.2683448986375,-152.26193050621052,-387.5370044628408,-106.43585700027243,-166.6508558405668,-89.53896301535677
-115.70579637238215,-445.8982693322394,-658.4042940533232,-142.63904194516385,-365.1455934989192,-100.58692445306636,-156.60569224176194,-84.84057107006012
-109.95194955256913,-412.83984179979757,-611.4631314152765,-134.7981291076995,-338.69882375495945,-94.1963447453592,-146.66960366826223,-80.86629562369946
-107.45725983810743,-392.55097960514934,-581.6749692519287,-131.61983503075265,-322.25384975687183,-90.55459497546572,-141.4739230081922,-79.25477207401927
-108.18254889812015,-390.1099060113366,-576.9754234376283,-133.02451259295714,-320.0655824531664,-90.48360161847425,-141.89442237273698,-80.10271923236185
-110.80299943142558,-400.6137950293031,-590.7684974144785,-137.11588425998738,-328.2867036954406,-92.85642317883314,-146.0250366495384,-82.48239780198034
-113.61253045023744,-414.5729700669611,-609.5716904569352,-141.44654269313972,-339.2977945291974,-95.6922431396144,-150.81696935703707,-85.07041420589344
-115.202882764581,-423.29120386645144,-620.9065039315477,-143.9802377961135,-346.09306751671267,-97.24548519752413,-153.59269060952968,-86.68291593520742
-114.93323453849236,-422.7397251253615,-619.0827518806509,-143.77880431908335,-345.46741352240423,-96.81372794275372,-153.15294046840768,-86.71683326634609
-113.14154487920493,-415.17555681486255,-607.6456832281887,-141.33131419170863,-339.34965443704056,-95.06377941150384,-150.2646041201834,-85.40986093534985
-110.9304033601227,-407.7197667545901,-597.2708663816595,-138.26951136978363,-333.6158642152313,-93.66030846333562,-147.2332407554295,-83.73290507715873
-109.55485991719213,-407.9810649766119,-599.1777920063531,-136.49236976939886,-334.4500876791833,-94.23676093174535,-146.5829390595528,-82.89395957102762
-109.76950216310566,-418.78231573091387,-617.0917806299539,-137.19517734626245,-343.9632424267237,-97.22136092883842,-149.48816150670584,-83.7164529693136
-111.50382199350528,-435.1614399180713,-642.6147598727031,-140.32836108072203,-357.7289992698098,-101.24272766971153,-154.8494956096133,-86.20911822970353
-113.88644032188131,-445.52616489862754,-657.107743699022,-144.54430157428166,-365.8425979916156,-103.50274031801553,-159.45701452022152,-89.42804227546038
-115.39397897740689,-436.18611510200446,-639.0932194985608,-147.3699373484849,-356.86567509840876,-100.9114041907689,-159.02621389862304,-91.56936450577534
-114.0747392578449,-396.85886019066606,-573.305306235166,-145.58623970187924,-322.5714245373255,-91.43463806606853,-149.6485895919523,-90.32556261601567
-108.07901952009131,-325.011978044101,-457.5509006423992,-136.1464313856801,-261.55664674082414,-75.13600108607193,-129.32442845538495,-83.64542483446255
-96.58583956231753,-227.8221004999786,-305.0897602628401,-117.69510611494125,-180.61301703447498,-54.53493405669492,-99.21657066747895,-70.8060917517884
-80.66520773216564,-120.97201932145981,-141.567784556621,-91.93082366263748,-93.29919644842929,-34.01127708372596,-63.97452148170932,-53.234921038443524
-63.28524293709426,-23.943677808832433,3.184761289999516,-63.61026206252541,-15.68445370985665,-18.232450486893377,-30.47994351800555,-34.3464563639615
-48.07427358186862,47.23344863109044,106.21559131245078,-38.63347045090795,39.688986660641504,-10.077647701201622,-5.0923731245480095,-18.14585943473286
-37.381312759441954,87.01241569102095,161.07902671850033,-21.049478538222523,69.28346327805421,-9.022905682925439,9.41462553784488,-7.23626703241082
-30.92026408954643,103.32667934027243,181.0576122054621,-10.908824432547698,80.54535169163756,-11.02820216952145,15.377124610990101,-1.484600080849043
-26.17034217620971,113.56089025967181,192.5572800078941,-4.711768411051719,88.24318432258227,-10.433778228020643,18.81670782445378,1.600018607773539
-20.604623800830144,133.69626916459063,219.43881412029623,1.410833508046561,105.51920749939265,-3.3184078932363104,25.27095472067039,4.773501500874787
-14.35282002623422,165.61564768787449,265.11601089045763,7.7826162073365435,133.6666285237604,9.36980226082977,35.123035662630684,8.547565048116557
-11.217810226990762,190.87803367608325,303.65070664758275,9.548231985367824,157.20963564292566,21.02948548332947,41.697283175605335,10.128951589926018
-16.849046168984337,177.3621320987632,288.7683030543133,-0.9001787111995331,149.37717027488463,22.118681178025447,34.173178296230354,4.878194208594575
